Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G2_KL110_GCA_964037185,G2_KL111_GCA_964046125,G2_KL112_GCA_964050255,G2_KL113_ERR999925,G2_KL114_ERR9845308,G2_KL115_GCA_964038575,G2_KL116_GCA_964050505,G2_KL117_GCA_964047655,G2_KL118_GCA_964041045,G2_KL119_ERR3970455,G2_KL120_GCA_964038565,G2_KL121_GCA_964053085,G2_KL122_GCA_964045655,G2_KL123_GCA_964038935,G2_KL124_GCA_964049275,G2_KL125_SAMN04993121,G2_KL126_GCA_964044195,G2_KL127_GCA_964042775,G2_KL128_SAMN04096287,G2_KL129_ERR435357,G2_KL130_ERR3970833,G2_KL131_SAMEA3322059,G2_KL133_GCA_964049825,G2_KL134_GCA_964044685,G2_KL135_ERR4034834,G2_KL137_GCA_964038275,G2_KL138_GCA_964050115,G2_KL139_ERR434849,G2_KL141_ERR435091,G2_KL142_GCA_964052785,G2_KL144_ERR4034177,G2_KL145_ERR435060,G2_KL146_ERR435310,G2_KL148_GCA_964052375,G2_KL149_ERR434290,G2_KL153_SAMEA3357406,G2_KL154_GCA_964055465,G2_KL155_SAMEA4428255,G2_KL156_GCA_964040975,G2_KL157_GCA_964038965,G2_KL159_GCA_964044845,G2_KL161_ERR3970235,G2_KL164_SRR6111979,G2_KL165_SAMN07177512,G2_KL167_GCA_964054585,G2_KL169_GCA_964048365,G2_KL170_SAMN02801815,G2_KL171_ERR13369634,G2_KL174_SAMEA4559551,G2_KL175_ERR13499600,K100_G2_KL100_CP013658,K12_G2_KL12_GCA_964041105,K13-K23_G2_KL13_ERR999921,K14_G2_KL14_GCA_964036905,K15_G2_KL15_CP000247,K16_G2_KL16_GCA_964043075,K1_G2_KL1_CP000243,K20_G2_KL20_MG739438,K24_G2_KL24_GCA_964052925,K2_G2_KL2_MG736912,K4_G2_KL4_GCA_964038165,K52_G2_KL52_CU928163,K53_G2_KL53_GCA_964056125,K5_G2_KL5_CP013831,K7_G2_KL7_GCA_964052145,K82_G2_KL82_GCA_964037765,K92_G2_KL92_MG739441,K93_G2_KL93_ERR1036227
DB_group_148,DB_group_148,Glycosyl transferase family 8,1,1,1,1,129,,,93,885,885,885,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_146,DB_group_146,Alpha/beta hydrolase,1,1,1,1,128,,,94,939,939,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
DB_group_145,DB_group_145,Glycosyltransferase family 1 protein,1,1,1,1,127,,,95,957,957,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
DB_group_142,DB_group_142,Glycosyltransferase,1,1,1,1,126,,,96,987,987,987,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_141,DB_group_141,hypothetical protein,1,1,1,1,125,,,97,990,990,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
galE_2,galE_2,UDP-glucose 4-epimerase GalE,1,1,1,1,121,,,98,1014,1014,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
galE,galE,UDP-glucose 4-epimerase GalE,1,1,1,1,120,,,99,1029,1029,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_133,DB_group_133,glycosyltransferase family 2 protein,1,1,1,1,119,,,100,1032,1032,1032,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_132,DB_group_132,Glycosyltransferase family 4 protein,1,1,1,1,118,,,101,1035,1035,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
DB_group_131,DB_group_131,Glycosyltransferase family 1 protein,1,1,1,1,117,,,102,1038,1038,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
DB_group_130,DB_group_130,Glycosyltransferase family 61 protein,1,1,1,1,115,,,103,1068,1068,1068,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_127,DB_group_127,hypothetical protein,1,1,1,1,113,,,104,1116,1116,1116,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpsB,cpsB,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,1,1,1,1,111,,,105,1140,1140,1140,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybl128_2,ybl128_2,CDP-glycerol glycerophosphotransferase,1,1,1,1,110,,,106,1140,1140,1140,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_123,DB_group_123,accessory Sec system protein Asp2,1,1,1,1,109,,,107,1146,1146,1146,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_121,DB_group_121,Tetratricopeptide repeat protein,1,1,1,1,107,,,108,1158,1158,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ybl128_3,ybl128_3,CDP-glycerol glycerophosphotransferase,1,1,1,1,106,,,109,1167,1167,1167,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_117,DB_group_117,hypothetical protein,1,1,1,1,105,,,110,1167,1167,1167,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cps2A,cps2A,Glycerophosphotransferase,1,1,1,1,102,,,111,1191,1191,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
DB_group_92,DB_group_92,glycosyltransferase family 29 protein,1,1,1,1,91,,,112,1251,1251,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
DB_group_86,DB_group_86,hypothetical protein,1,1,1,1,87,,,113,1281,1281,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DB_group_82,DB_group_82,glycosyltransferase family 2 protein,1,1,1,1,86,,,114,1281,1281,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ybl130_2,ybl130_2,ybl130,1,1,1,1,85,,,115,1284,1284,1284,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_79,DB_group_79,CatB-related O-acetyltransferase,1,1,1,1,81,,,116,1311,1311,1311,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_74,DB_group_74,CatB-related O-acetyltransferase,1,1,1,1,75,,,117,1347,1347,1347,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybl130,ybl130,CDP-glycerol:poly(Glycerophosphate) glycerophosphotransferase,1,1,1,1,74,,,118,1353,1353,1353,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wavE,wavE,WavE lipopolysaccharide synthesis,1,1,1,1,71,,,119,1371,1371,1371,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfiB_4,kfiB_4,KfiB-protein,1,1,1,1,68,,,120,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_66,DB_group_66,glycosyltransferase family 1 protein,1,1,1,1,67,,,121,1509,1509,1509,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_64,DB_group_64,Capsular biosynthesis protein,1,1,1,1,61,,,122,1578,1578,1578,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_63,DB_group_63,Putative capsule O-acetyl transferase,1,1,1,1,60,,,123,1593,1593,1593,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_62,DB_group_62,Beta-Kdo transferase,1,1,1,1,58,,,124,1614,1614,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
kfiB_5,kfiB_5,Sulfotransferase family protein,1,1,1,1,48,,,125,1770,1770,1770,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_53,DB_group_53,Glycosyltransferase,1,1,1,1,47,,,126,1959,1959,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_52,DB_group_52,Glycosyl transferase family 1 domain-containing protein,1,1,1,1,46,,,127,1968,1968,1968,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfoC_2,kfoC_2,glycosyltransferase,1,1,1,1,33,,,128,2073,2073,2073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_26,DB_group_26,Glycosyltransferase,1,1,1,1,25,,,129,2247,2247,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
DB_group_23,DB_group_23,Beta-3-deoxy-D-manno-oct-2-ulosonic acid transferase,1,1,1,1,24,,,130,2346,2346,2346,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_24,DB_group_24,Capsule polysaccharide biosynthesis protein,1,1,1,1,23,,,131,2400,2400,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_21,DB_group_21,Glycosyltransferase family 29 protein,1,1,1,1,22,,,132,2403,2403,2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_38,DB_group_38,ABC transporter transmembrane region,1,1,1,1,21,,,133,81,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_98,DB_group_98,Periplasmic endochitinase,1,1,1,1,20,,,134,84,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_36,DB_group_36,hypothetical protein,1,1,1,1,19,,,135,93,93,93,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_33,DB_group_33,hypothetical protein,1,1,1,1,18,,,136,132,132,132,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_32,DB_group_32,hypothetical protein,1,1,1,1,17,,,137,138,138,138,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_31,DB_group_31,hypothetical protein,1,1,1,1,16,,,138,189,189,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_30,DB_group_30,hypothetical protein,1,1,1,1,15,,,139,204,204,204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_19,DB_group_19,hypothetical protein,1,1,1,1,14,,,140,372,372,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
DB_group_14,DB_group_14,Glycosyltransferase,1,1,1,1,13,,,141,2913,2913,2913,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_13,DB_group_13,Polysaccharide pyruvyl transferase domain-containing protein,1,1,1,1,11,,,142,3132,3132,3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
DB_group_12,DB_group_12,Glycosyltransferase,1,1,1,1,10,,,143,3270,3270,3270,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_11,DB_group_11,HAD-IA family hydrolase,1,1,1,1,9,,,144,3300,3300,3300,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_10,DB_group_10,alpha-28-polysialyltransferase family protein,1,1,1,1,8,,,145,3312,3312,3312,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_15,DB_group_15,hypothetical protein,1,1,1,1,7,,,146,417,417,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
DB_group_9,DB_group_9,HAD-IA family hydrolase,1,1,1,1,6,,,147,3414,3414,3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
DB_group_8,DB_group_8,Hydrolase,1,1,1,1,5,,,148,3453,3453,3453,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_7,DB_group_7,HAD-IA family hydrolase,1,1,1,1,4,,,149,3474,3474,3474,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_6,DB_group_6,HAD-IA family hydrolase,1,1,1,1,3,,,150,3498,3498,3498,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB_group_1,DB_group_1,CDP-glycerol glycerophosphotransferase family protein,1,1,1,1,1,,,151,3750,3750,3750,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
